75 0 (1, (1, 1, 1, 1, 1, 1, 6)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('*', 'G'), ('-*', 'A'), ('o*', 'B')]
75 1 (1, (1, 1, 1, 1, 1, 1, 6)) [(0, 'C'), ('+^', 'D'), ('^', 'E'), ('^', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
75 2 (1, (1, 1, 1, 1, 1, 1, 6)) [(0, 'C'), ('-', 'D'), ('^', 'E'), ('^', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
75 3 (1, (1, 1, 1, 1, 1, 1, 6)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('^', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
75 4 (1, (1, 1, 1, 1, 1, 1, 6)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
75 5 (1, (1, 1, 1, 1, 1, 1, 6)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('*', 'G'), ('+', 'A'), ('', 'B')]
75 6 (1, (1, 1, 1, 1, 1, 1, 6)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('*', 'G'), ('-*', 'A'), ('', 'B')]
75 7 (2, (1, 1, 1, 1, 1, 2, 5)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('*', 'G'), ('-*', 'A'), ('-*', 'B')]
75 8 (2, (1, 1, 1, 1, 1, 2, 5)) [(0, 'C'), ('^', 'D'), ('x', 'E'), ('x', 'F'), ('+', 'G'), ('', 'A'), ('-', 'B')]
75 9 (2, (1, 1, 1, 1, 1, 2, 5)) [(0, 'C'), ('', 'D'), ('^', 'E'), ('^', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
75 10 (2, (1, 1, 1, 1, 1, 2, 5)) [(0, 'C'), ('-', 'D'), ('-', 'E'), ('^', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
75 11 (2, (1, 1, 1, 1, 1, 2, 5)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('-', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
75 12 (2, (1, 1, 1, 1, 1, 2, 5)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('o', 'G'), ('+', 'A'), ('', 'B')]
75 13 (2, (1, 1, 1, 1, 1, 2, 5)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('*', 'G'), ('*', 'A'), ('', 'B')]
75 14 (3, (1, 1, 1, 1, 1, 3, 4)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('*', 'G'), ('-*', 'A'), ('*', 'B')]
75 15 (3, (1, 1, 1, 1, 1, 3, 4)) [(0, 'C'), ('x', 'D'), ('+', 'E'), ('+', 'F'), ('', 'G'), ('-', 'A'), ('o', 'B')]
75 16 (3, (1, 1, 1, 1, 1, 3, 4)) [(0, 'C'), ('+', 'D'), ('^', 'E'), ('^', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
75 17 (3, (1, 1, 1, 1, 1, 3, 4)) [(0, 'C'), ('-', 'D'), ('', 'E'), ('^', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
75 18 (3, (1, 1, 1, 1, 1, 3, 4)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
75 19 (3, (1, 1, 1, 1, 1, 3, 4)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('-', 'G'), ('+', 'A'), ('', 'B')]
75 20 (3, (1, 1, 1, 1, 1, 3, 4)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('*', 'G'), ('o', 'A'), ('', 'B')]
75 21 (4, (1, 1, 1, 1, 1, 4, 3)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('*', 'G'), ('-*', 'A'), ('o', 'B')]
75 22 (4, (1, 1, 1, 1, 1, 4, 3)) [(0, 'C'), ('+', 'D'), ('', 'E'), ('', 'F'), ('-', 'G'), ('o', 'A'), ('*', 'B')]
75 23 (4, (1, 1, 1, 1, 1, 4, 3)) [(0, 'C'), ('x', 'D'), ('^', 'E'), ('^', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
75 24 (4, (1, 1, 1, 1, 1, 4, 3)) [(0, 'C'), ('-', 'D'), ('+', 'E'), ('^', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
75 25 (4, (1, 1, 1, 1, 1, 4, 3)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('+', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
